"item_id","item_name"
"101","Espresso"
"102","Americano (Iced)"
"103","Latte (Hot)"
"104","Cappuccino"
"105","Mocha (Hot)"
"106","White Mocha (Hot)"
"107","Caramel Macchiato (Hot)"
"108","Brewed Coffee"
"109","Latte (Iced)"
"110","Mocha (Iced)"
"111","Thai Latte (Hot)"
"112","Cold Brew"
"113","Med Mocha Javalanche"
"114","Med Caramel Javalanche"
"115","Med Coffee Javalanche"
"116","Iced Tea"
"200","Plain Bagel"
"202","Cinnamon Raisin Bagel"
"203","Chocolate Chunk Cookie"
"204","Brownie"
"205","Butter Croissant"
"206","Chocolate Croissant"
"207","Morning Bun"
"300","Izze"
"301","Proud Source Water"
"302","Naked Juice"
"303","Pellegrino"
"600","Plain Cream Cheese"
"1001","EB Helles Lager"
"1001","Red Lager"
"1002","Kolsch Draft"
"1003","Cider"
"2000","Sauvignon Blanc"
"2001","Vino Verde"
"2002","Rose"
"2003","Cabernet Sauvignon"
"2004","Malbec"
"20114","Hot Tea"
"20115","Hot Chocolate"
"20116","Add Espresso Shot"
"20117","Soy Milk "
"20118","Almond Milk "
"20119","Oat Milk"
"20120","White Mocha (Iced)"
"20121","Thai Tea (Iced)"
"20126","Matcha Latte (Cold)"
"20127","Matcha Latte (Hot)"
"20128","Med Matcha Javalanche"
"20129","Thai Tea Javalanche"
"20131","Flavor"
"20132","Chive Cream Cheese"
"20135","Everything Bagel"
"20136","Marshmallow Bar"
"20137","Salted Caramel Cookie"
"20139","Sea Salt Pretzel"
"20141","Ham & Cheese Croissant"
"20143","EB Helles Lager Pitcher"
"20143","Red Lager Pitcher"
"20144","Kolsch Pitcher"
"20145","Cider Pitcher"
"20146","Whole Fruit"
"20147","Chips"
"20153","Caramel Macchiato Iced"
"20154","London Fog"
"20155","Vanilla Cream Javalanche"
"20156","Americano"
"20158","Hot Water Cup"
"20160","Steamed Milk"
"20161","Chicken Caesar Salad"
"20162","California Chicken Cobb Salad"
"20164","Vegan Power Bowl"
"20165","Grilled Chicken Sandwich"
"20166","Chipotle Turkey Sandwich"
"20167","Tomato Caprese Sandwich"
"20168","Roast Beef Sandwich"
"20170","Wild Mushroom Flatbread"
"20171","Classic Margherita Flatbread"
"20172","Italian Meat Lovers Flatbread"
"20173","BBQ Asian Chicken Flatbread"
"20176","Charcuterie Box"
"20177","Pressed Juice"
"20178","Yogurt Parfait"
"20179","Fruit Cup"
"20180","Seasonal Danish"
"20181","Almond Croissant"
"20183","Poppy Bagel"
"20184","Sesame Bagel"
"20185","Happy Hour Kolsch"
"20186","Happy Hour Lager"
"20188","Happy Hour Cider"
"20189","Happy Hour Kolsch Pitcher"
"20190","Happy Hour Lager Pitcher"
"20192","HH Cider Pitcher"
"20192","Happy Hour Cider Pitcher"
"20193","Happy Hour Sauvignon Blanc"
"20194","Happy Hour Vino Verde"
"20195","Happy Hour Rose"
"20196","Happy Hour Cabernet"
"20197","Happy Hour Malbec"
"20199","Large Beer Can"
"20200","Sunflower Pretzel"
"20204","Munich Bottle"
"20206","Small Beer Can"
"20207","IPA draft"
"20208","IPA Pitcher"
"20209","HH IPA"
"20209","Happy Hour IPA"
"20210","Happy Hour IPA Pitcher"
"20211","Chai Tea Latte Hot"
"20212","Iced Chai Tea Latte"
"20215","Pumpkin Cold Brew"
"20217","Fest Bier"
"20218","Pitcher FestBier"
"20219","HH festbier"
"20220","HH Pit Fest"
"20221","Italian Salami Panini"
"20223","Ham & Cheese"
"20224","Chef's Salad"
"20225","Gingerbread Latte"
"20226","Iced Gingerbread Latte"
"20227","Gingerbread Cold Brew"
"20228","Merrimint White Mocha"
"20229","Iced Merrimint White Mocha"
"20230","Salami Pizza"
"20231","World Cup Cocoa"
"20232","Chicken Pesto Pizza"
"20233","Vegetarian Chorizo Pizza"
"20234","Proscuitto Pizza"
"20235","Charcuterie Pizza"
"20236","Chicken Bacon Panini"
"20237","Kombucha Can"
"20238","Rueben Sandwich"
"20239","Grilled Vegetable Sandwich"
"20240","Breakfast Sandwich"
"20241","Happy Hour Kombucha"
"20242","Baily"
"20243","Chocolate Truffle Mocha"
"20244","Iced Chocolate Truffle Mocha"
"20245","Pimenton Pretzel Roll"
"20246","Scone"
"20247","Peanut Butter"
"20248","Vanilla Sweet Cream Cold Brew"
"20249","Scrimshaw Draft"
"20250","Scrimshaw Pitcher"
"20251","HH Scrimshaw"
"20252","HH Scrimshaw Pitcher"
"20253","HH Sangria"
"20254","Reisling"
"20255","HH Reisling"
"20256","Simply Lemonade"
"20257","Coffee Carrier"
"20258","Strawberry Acai Refresher"
"20259","Wildberry Hibiscus Refresher"
"20260","Flat White"
"20261","Memory Lane Milkshake"
"20262","Pinot Noir"
"20263","Happy Hour Pinot Noir"
"20264","Wildflower"
"20265","Happy Hour Wildflower"
"20266","Dragonfruit refresher"
"20267","Large Mocha Javalanche"
"20268","Large Caramel Javalanche"
"20269","Large Coffee Javalanche"
"20270","Large Matcha Javalanche"
"20271","Large Iced Americano"
"20272","Large Cold Brew"
"20273","Large Vanilla Sweet Cream Cold"
"20274","Large Iced Latte"
"20275","Large Iced Caramel Macchiato"
"20276","Large Iced White Mocha"
"20277","Large Iced Mocha"
"20278","Large Iced Truffle Mocha"
"20279","Large Iced Tea"
"20280","Large Straw Acai Refresher"
"20281","Large Wildberry Hibiscus Ref"
"20282","Large Dragonfruit Refresher"
"20283","Large Iced Chai Tea Latte"
"20284","Large Iced Thai Tea Latte"
"20285","Large Iced Matcha"
"20286","Large Americano"
"20287","Large Latte"
"20288","Large Caramel Macchiato"
"20289","Large White Mocha"
"20290","Large Mocha"
"20291","Large Chocolate Truffle Mocha"
"20292","Large Chai Latte"
"20293","Large Thai Tea Latte"
"20294","Large Matcha Latte"
"20295","Large Hot Tea"
"20296","Large Brewed Coffee"
"20297","Large Hot Chocolate"
"20298","t-shirt"
"20300","Greek Caramel Macchiato"
"20302","pumpkin latte"
"20305","Pumpkin Latte"
"20308","Beer Can"
"20309","Sangria"
"20310","Chardonnay"
"20311","HH Chardonnay"
"20312","Fan Shop"
"20313","Bluebeary Lemonade"
"20314","Large Bluebeary Lemonade"
"20315","Blondie"
"20316","Pink Drink"
"20317","Large Pink Drink"
"20318","Discount Pink Drink"
"20320","HH Wed Drink"
"20321","Lge Merrimint White Mocha"
"20322","Lrg Gingerbread Latte"
"20323","Lrg Ice Gingerbread Latte"
"20324","Lrg Ice Merrimint White Mocha"
"20325","Shortbread Cold Brew"
"20326","Lrg Shortbread Cold Brew"
"20327","Jello Shot"
"20328","Lemonade"
"20330","Large Cappuccino"
"20331","Choc Truffle Caramel Macchiato"
"20332","Lrg Choc Truf Carm Macchiato"
"20333","Iced Choc Truf Carm Macchiato"
"20334","Lrg Iced Choc Truf Carm Macch"
"20335","Coffee Mug"
"20336","Large London Fog"
"20337","Arnold Palmer"
"20338","Large Arnold Palmer"
"20339","HH Soju Cocktail"
"20340","Soju Cocktail"
"20341","HH Mocktail"
"20342","Mocktail"
"20343","Dollar off Pizza"
"20344","Rum Punch"
"20345","Mochi Muffin"
"20346","Matcha Mochi Muffin"
"20347","Churro Muffin"
"20348","Mango Passion Mochi Donut"
"20349","Strawberries N Cream Donut"
"20350","Chocolate Mochi Donut"
"20351","Matcha White Choc Mochi Donut"
"20352","Ube Coconut Mochi Donut"
"20353","Pistachio Cinn Cream Cold Brew"
"20354","Lrg Pistachio Cinn Cold Brew"
"20356","Clos Du Bois Cab"
"20357","Wine Spritzer"
"20358","HH Hefeweizen"
"20359","Hefeweizen"
"20360","$1 off Izze"
"20361","Promo BB Lemonade"
"20362","Lrg Lemonade"
"20363","Promo Vanilla Latte"
"20364","Mochi Brownie Muffin"
"20365","Ube Mochi Muffin"
"20366","Cal Donut"
"20367","promo coffee"
"20368","Crystal Gyser"
"20369","Promo Bagel"
"20370","Promo Latte"
"20371","Free Pastry"
"20372","Half-Off Donut"
"20373","Pink Colada (NON-ALCOHOL)"
"20374","Pride Rainbow Donut"
"20376","Lavender Latte/Rainbow Sprink."
"20377","Banana Walnut Loaf"
"20378","Protein Bar"
"20379","Cafe Au Lait"
"20380","Pesto Turkey Sandwich"
"20381","Cubano Pork Sandwich"
"20382","Black Bean Sandwich"
"20383","Vegan Fattoush Salad"
"20384","Chicken Breakfast Sandwich"
"20385","French Toast Breakfast Sandwic"
"20386","Bagel Breakfast Sandwich"
"20387","Resident Americano"
"20388","Resident Iced Americano"
"20389","Cold Foam"
"20390","Paulaner"
"20391","Paulaner Pitcher"
"20392","HH Paulaner"
"20393","HH Paulaner Pitcher"
"20394","BUTTER BEER"
"20395","banana"
"20396","Hard Seltzer"
"20397","HH Hard Seltzer"
"20398","Buddy Fruit"
"20399","NuGo Bar"
"20400","Monday Meal"
"20401","Pumperthingel"
"20402","egg bagel"
"20403","Polish Raspberry Porter"
"20405","Soda Can"
"20406","Game Day Deal"
"20407","Clear Bag"
"20408","Pumpkin Muffin"
"20409","Thai Tea Donut"
"20410","Sunbutter"
"20411","HH Michelada"
"20413","The Creature"
"20416","Gingerbread Chai"
"20417","Iced Gingerbread Chai"
"20418","Lrg Gingerbread Chai"
"20419","Large Iced Gingerbread Chai"
"20420","Chobani Yogurt"
"20421","Edmonds Sticker "
"20423","Mulled Wine"
